Name,Sex,Age,Height,Weight,Team,Year,City,Sport,Event,Medal
Sultan Mubarak M. Al-Dawoodi,M,27.0,192.0,86.0,Saudi Arabia,2012,London,Athletics,Athletics Men's Discus Throw,
Fehaid Al-Deehani,M,45.0,178.0,95.0,Kuwait,2012,London,Shooting,Shooting Men's Trap,Bronze
Fehaid Al-Deehani,M,45.0,178.0,95.0,Kuwait,2012,London,Shooting,Shooting Men's Double Trap,
Humaid Rashd Al-Derei,M,21.0,,65.0,United Arab Emirates,2012,London,Judo,Judo Men's Half-Lightweight,
Ramzy Al-Duhami,M,40.0,162.0,70.0,Saudi Arabia,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",
Ramzy Al-Duhami,M,40.0,162.0,70.0,Saudi Arabia,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Bahaa Al-Farra,M,21.0,175.0,65.0,Palestine,2012,London,Athletics,Athletics Men's 400 metres,
Sara Abdulrahman Al-Flaij,F,16.0,170.0,72.0,Bahrain,2012,London,Swimming,Swimming Women's 50 metres Freestyle,
Mostafa Muhammad Hisham Muhammad Salah Abdulhamid Al-Gamel,M,23.0,191.0,96.0,Egypt,2012,London,Athletics,Athletics Men's Hammer Throw,
Nabil Mohammed Al-Garbi,M,18.0,175.0,65.0,Yemen,2012,London,Athletics,"Athletics Men's 1,500 metres",
Mohamad Al-Garni,M,20.0,179.0,55.0,Qatar,2012,London,Athletics,"Athletics Men's 1,500 metres",
Shinoona Salah Al-Habsi,F,19.0,162.0,60.0,Oman,2012,London,Athletics,Athletics Women's 100 metres,
Bahya Mansour Al-Hamad,F,20.0,166.0,69.0,Qatar,2012,London,Shooting,"Shooting Women's Air Rifle, 10 metres",
Bahya Mansour Al-Hamad,F,20.0,166.0,69.0,Qatar,2012,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",
Hussain Jamaan Al-Hamdah,M,29.0,,,Saudi Arabia,2012,London,Athletics,"Athletics Men's 5,000 metres",
Ismail Salem Al-Hammadi,M,24.0,173.0,68.0,United Arab Emirates,2012,London,Football,Football Men's Football,
