Name,Sex,Age,Height,Weight,Year,Season,City,Sport,Medal
Saraswati Amit Dey-Saha,F,24.0,154.0,53.0,2004,Summer,Athina,Athletics,
Ayyasamy Dharun,M,19.0,177.0,64.0,2016,Summer,Rio de Janeiro,Athletics,
Abha Dhillan,F,38.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Shooting,
Kartar Dhillon Singh,M,26.0,175.0,100.0,1980,Summer,Moskva,Wrestling,
Kartar Dhillon Singh,M,30.0,175.0,100.0,1984,Summer,Los Angeles,Wrestling,
Kartar Dhillon Singh,M,34.0,175.0,100.0,1988,Summer,Seoul,Wrestling,
Valiyaveetil Diju,M,31.0,188.0,67.75776754890678,2012,Summer,London,Badminton,
Ngangim Dingko Singh,M,21.0,171.63860830527497,67.75776754890678,2000,Summer,Sydney,Boxing,
Parvez Irani Diniar,M,26.0,180.0,67.0,1980,Summer,Moskva,Basketball,
Ashok Diwan,M,21.0,160.0,60.0,1976,Summer,Montreal,Hockey,
Skalzang Dorje,M,25.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Archery,
Skalzang Dorje,M,25.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Archery,
Selma D'Silva,F,19.0,158.0,67.75776754890678,1980,Summer,Moskva,Hockey,
Adrian Albert D'Souza,M,20.0,170.0,62.0,2004,Summer,Athina,Hockey,
Darryl Aloysius D'Souza,M,26.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Hockey,
Mary Emily D'Souza,F,20.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Athletics,
Mary Emily D'Souza,F,20.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Athletics,
Neville Stephen J. D'Souza,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Football,
"Stephanie ""Stephie"" D'Souza (Sequeira-)",F,27.0,158.0,50.0,1964,Summer,Tokyo,Athletics,
Preeti Dubey,F,18.0,166.0,53.0,2016,Summer,Rio de Janeiro,Hockey,
C. Thirugnan Durai,M,26.0,171.63860830527497,67.75776754890678,2000,Summer,Sydney,Athletics,
Keshav Chandra Dutt,M,22.0,171.63860830527497,67.75776754890678,1948,Summer,London,Hockey,Gold
Keshav Chandra Dutt,M,26.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Hockey,Gold
Sunil Dutt,M,16.0,157.0,48.0,1984,Summer,Los Angeles,Wrestling,
